,Total_Cmp,Total_Att,Total_Cmp%,Total_Dist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Assists,xA,A-xA,Key_passes,Final_third_passes,Passes_in_PA,Crosses_in_PA,Progressive_passes,Club
1,16110.0,19512.0,82.6,300732.0,87839.0,6886.0,7676.0,89.7,6990.0,7853.0,89.0,1937.0,3307.0,58.6,41.0,36.8,4.2,425.0,1161.0,348.0,77.0,1168.0,Arsenal
2,12521.0,16026.0,78.1,244814.0,86229.0,5111.0,5870.0,87.1,5319.0,6210.0,85.7,1849.0,3329.0,55.5,42.0,33.6,8.4,348.0,934.0,305.0,80.0,1109.0,Aston Villa
3,11551.0,15894.0,72.7,234064.0,86823.0,4443.0,5378.0,82.6,4952.0,6189.0,80.0,1927.0,3622.0,53.2,33.0,33.0,-1.0,305.0,877.0,270.0,84.0,1038.0,Brentford
4,16342.0,20297.0,80.5,319634.0,96944.0,6439.0,7315.0,88.0,7280.0,8309.0,87.6,2338.0,3873.0,60.4,30.0,29.1,0.9,343.0,1120.0,348.0,83.0,1210.0,Brighton
5,9508.0,13895.0,68.4,199165.0,82436.0,4020.0,4911.0,81.9,3405.0,4445.0,76.6,1865.0,3864.0,48.3,26.0,27.7,-1.7,273.0,801.0,251.0,90.0,873.0,Burnley
6,20878.0,24294.0,85.9,382347.0,114543.0,9010.0,9831.0,91.6,9142.0,10113.0,90.4,2350.0,3528.0,66.6,52.0,46.9,5.1,430.0,1561.0,446.0,69.0,1614.0,Chelsea
7,14780.0,18643.0,79.3,292426.0,94182.0,5669.0,6493.0,87.3,6735.0,7798.0,86.4,2122.0,3673.0,57.8,31.0,29.5,1.5,287.0,932.0,279.0,84.0,1037.0,Crystal Palace
8,10325.0,14297.0,72.2,206029.0,78513.0,4314.0,5127.0,84.1,4093.0,5137.0,79.7,1629.0,3293.0,49.5,29.0,27.2,1.8,311.0,843.0,266.0,80.0,910.0,Everton
9,13830.0,17836.0,77.5,267921.0,90174.0,5535.0,6394.0,86.6,6038.0,7055.0,85.6,1955.0,3578.0,54.6,26.0,31.1,-5.1,343.0,969.0,302.0,59.0,1278.0,Leeds United
10,15911.0,19634.0,81.0,301146.0,95451.0,6529.0,7366.0,88.6,7181.0,8161.0,88.0,1937.0,3389.0,57.2,46.0,34.0,11.0,302.0,972.0,267.0,50.0,1144.0,Leicester City
11,20856.0,24964.0,83.5,412739.0,130477.0,7998.0,8930.0,89.6,9473.0,10675.0,88.7,3098.0,4525.0,68.5,71.0,60.1,10.9,507.0,1824.0,528.0,93.0,1967.0,Liverpool
12,24032.0,27275.0,88.1,456456.0,119264.0,10056.0,10836.0,92.8,10563.0,11506.0,91.8,3133.0,4223.0,74.2,63.0,59.9,3.1,525.0,1945.0,562.0,78.0,1766.0,Manchester City
13,16464.0,20092.0,81.9,310788.0,93976.0,7125.0,8053.0,88.5,6780.0,7755.0,87.4,2239.0,3498.0,64.0,46.0,40.6,5.4,397.0,1253.0,318.0,68.0,1304.0,Manchester Utd
14,10211.0,13751.0,74.3,208112.0,79300.0,4144.0,4890.0,84.7,4100.0,4992.0,82.1,1710.0,3247.0,52.7,23.0,25.9,-2.9,297.0,758.0,207.0,61.0,742.0,Newcastle Utd
15,11974.0,15658.0,76.5,242050.0,81553.0,4705.0,5440.0,86.5,5095.0,6038.0,84.4,1985.0,3585.0,55.4,16.0,22.7,-6.7,254.0,705.0,230.0,47.0,922.0,Norwich City
16,12571.0,16695.0,75.3,235599.0,81848.0,5556.0,6460.0,86.0,5227.0,6367.0,82.1,1536.0,3184.0,48.2,26.0,32.3,-6.3,346.0,944.0,269.0,60.0,1077.0,Southampton
17,16914.0,20207.0,83.7,321789.0,96693.0,6993.0,7729.0,90.5,7498.0,8421.0,89.0,2163.0,3336.0,64.8,50.0,49.3,0.7,379.0,1184.0,358.0,77.0,1318.0,Tottenham
18,10380.0,14327.0,72.5,213943.0,81717.0,4075.0,4858.0,83.9,4333.0,5357.0,80.9,1773.0,3495.0,50.7,26.0,28.6,-2.6,288.0,756.0,213.0,67.0,906.0,Watford
19,14176.0,17992.0,78.8,277399.0,91218.0,5883.0,6641.0,88.6,5936.0,6959.0,85.3,2115.0,3713.0,57.0,46.0,35.6,10.4,316.0,1052.0,305.0,98.0,1123.0,West Ham
20,15024.0,18602.0,80.8,304906.0,95466.0,5566.0,6330.0,87.9,6750.0,7675.0,87.9,2490.0,3962.0,62.8,22.0,24.8,-2.8,283.0,1015.0,223.0,60.0,1077.0,Wolves
