,Goals,Shots,Shots-on-Target,SoT%,Shots-per-90,Shots-on-Target-per-90,Goals-per-Shots,Goals-per-SoT,Distaance-from-goal,Free-kicks,Pens,PKatt,Expected-goals,npxG,npxG/Sh,G-xG,np:G-xG,Club
1,60.0,580.0,185.0,31.9,15.26,4.87,0.09,0.3,17.3,21.0,5.0,8.0,59.9,54.0,0.1,0.1,1.0,Arsenal
2,50.0,461.0,159.0,34.5,12.13,4.18,0.1,0.3,17.1,19.0,3.0,3.0,44.0,41.8,0.09,6.0,5.2,Aston Villa
3,46.0,441.0,139.0,31.5,11.61,3.66,0.09,0.29,15.6,10.0,6.0,6.0,47.8,43.3,0.1,-1.8,-3.3,Brentford
4,40.0,483.0,140.0,29.0,12.71,3.68,0.07,0.26,16.8,15.0,4.0,7.0,46.0,40.7,0.09,-6.0,-4.7,Brighton
5,32.0,406.0,117.0,28.8,10.68,3.08,0.08,0.26,16.4,14.0,1.0,2.0,39.0,37.4,0.09,-7.0,-6.4,Burnley
6,75.0,585.0,199.0,34.0,15.39,5.24,0.11,0.34,16.9,26.0,8.0,9.0,67.2,60.7,0.11,7.8,6.3,Chelsea
7,50.0,404.0,141.0,34.9,10.63,3.71,0.11,0.31,15.4,13.0,6.0,8.0,46.4,40.3,0.1,3.6,3.7,Crystal Palace
8,42.0,431.0,127.0,29.5,11.34,3.34,0.08,0.28,17.1,18.0,6.0,7.0,42.8,37.5,0.09,-0.8,-1.5,Everton
9,42.0,485.0,142.0,29.3,12.76,3.74,0.08,0.26,17.7,13.0,5.0,5.0,47.2,43.4,0.09,-5.2,-6.4,Leeds United
10,62.0,436.0,163.0,37.4,11.47,4.29,0.14,0.37,17.2,14.0,2.0,2.0,50.8,49.3,0.12,11.2,10.7,Leicester City
11,94.0,722.0,237.0,32.8,19.0,6.24,0.12,0.37,15.9,9.0,7.0,8.0,89.2,83.5,0.12,4.8,3.5,Liverpool
12,96.0,704.0,239.0,33.9,18.53,6.29,0.13,0.37,15.7,17.0,7.0,9.0,89.0,82.0,0.12,7.0,7.0,Manchester City
13,56.0,505.0,179.0,35.4,13.29,4.71,0.1,0.3,17.1,19.0,3.0,5.0,54.8,51.0,0.1,1.2,2.0,Manchester Utd
14,41.0,443.0,140.0,31.6,11.66,3.68,0.09,0.27,17.2,14.0,3.0,3.0,40.3,38.0,0.09,0.7,0.0,Newcastle Utd
15,21.0,374.0,104.0,27.8,9.84,2.74,0.05,0.17,18.1,18.0,3.0,3.0,33.3,31.0,0.09,-12.3,-13.0,Norwich City
16,41.0,483.0,159.0,32.9,12.71,4.18,0.08,0.23,17.0,24.0,4.0,4.0,46.8,43.7,0.09,-5.8,-6.7,Southampton
17,63.0,491.0,186.0,37.9,12.92,4.89,0.12,0.31,16.3,16.0,5.0,5.0,65.1,61.4,0.13,-2.1,-3.4,Tottenham
18,33.0,398.0,126.0,31.7,10.47,3.32,0.08,0.25,17.6,23.0,1.0,2.0,38.8,37.4,0.1,-5.8,-5.4,Watford
19,58.0,446.0,143.0,32.1,11.74,3.76,0.12,0.38,16.0,13.0,4.0,6.0,49.9,46.0,0.1,8.1,8.0,West Ham
20,35.0,403.0,134.0,33.3,10.61,3.53,0.08,0.25,17.9,14.0,1.0,1.0,35.9,35.4,0.09,-0.9,-1.4,Wolves
